subject, block_type, block, condition, trial, right_offer, left_offer, offer_right_image, offer_left_image, exp_value_right, exp_value_left, exp_value_chosen, choice_location, choice_key, choice_card, unchosen_card, chosen_card_image, unchosen_card_image, rt, randomwalk_counter, exp_value1, exp_value2, exp_value3, exp_value4, reward
15, test, 2, vibration during choice, 24, 1, 3, 5.jpg, 7.jpg, 0.266650787, 0.405854252, 0.405854252, left, 1, 3, 1, 7.jpg, 5.jpg, 0.4248142000287771, 2, 0.266650787, 0.379139537, 0.405854252, 0.398445672,1
15, test, 2, vibration during choice, 25, 1, 2, 5.jpg, 6.jpg, 0.254259812, 0.383103254, 0.383103254, left, 1, 2, 1, 6.jpg, 5.jpg, 0.5856659000273794, 2, 0.254259812, 0.383103254, 0.425425396, 0.3844496,1
15, test, 2, vibration during choice, 26, 1, 4, 5.jpg, 8.jpg, 0.251503025, 0.389570929, 0.389570929, left, 1, 4, 1, 8.jpg, 5.jpg, 0.33769029995892197, 2, 0.251503025, 0.426705428, 0.44409494, 0.389570929,0,
15, test, 2, vibration during choice, 27, 4, 1, 8.jpg, 5.jpg, 0.351861927, 0.260664603, 0.260664603, left, 1, 1, 4, 5.jpg, 8.jpg, 0.6113586999708787, 2, 0.260664603, 0.434578853, 0.476699219, 0.351861927,0,
15, test, 2, vibration during choice, 28, 4, 3, 8.jpg, 7.jpg, 0.358204472, 0.471375184, 0.358204472, right, 2, 4, 3, 8.jpg, 7.jpg, 0.7145708000753075, 2, 0.254900351, 0.456535155, 0.471375184, 0.358204472,1
15, test, 2, vibration during choice, 29, 3, 2, 7.jpg, 6.jpg, 0.45401501, 0.431125609, 0.45401501, right, 2, 3, 2, 7.jpg, 6.jpg, 0.5022954999003559, 2, 0.270226286, 0.431125609, 0.45401501, 0.360838495,1
15, test, 2, vibration during choice, 30, 1, 2, 5.jpg, 6.jpg, 0.231605059, 0.434793002, 0.231605059, right, 2, 1, 2, 5.jpg, 6.jpg, 0.6759226000867784, 2, 0.231605059, 0.434793002, 0.441888062, 0.36725969,0,
15, test, 2, vibration during choice, 31, 1, 3, 5.jpg, 7.jpg, 0.233739069, 0.456731037, 0.233739069, right, 2, 1, 3, 5.jpg, 7.jpg, 0.5049145999364555, 2, 0.233739069, 0.473135831, 0.456731037, 0.401609609,1
15, test, 2, vibration during choice, 32, 3, 1, 7.jpg, 5.jpg, 0.406064085, 0.24432205, 0.406064085, right, 2, 3, 1, 7.jpg, 5.jpg, 0.39514859998598695, 2, 0.24432205, 0.452508743, 0.406064085, 0.393803515,0,
15, test, 2, vibration during choice, 33, 3, 4, 7.jpg, 8.jpg, 0.401876712, 0.402704902, 0.401876712, right, 2, 3, 4, 7.jpg, 8.jpg, 0.41795999999158084, 2, 0.193554899, 0.458621481, 0.401876712, 0.402704902,0,
15, test, 2, vibration during choice, 34, 1, 4, 5.jpg, 8.jpg, 0.204964705, 0.416668377, 0.416668377, left, 1, 4, 1, 8.jpg, 5.jpg, 0.4623219999484718, 2, 0.204964705, 0.43001655, 0.409321444, 0.416668377,0,
15, test, 2, vibration during choice, 35, 2, 4, 6.jpg, 8.jpg, 0.429045935, 0.419699964, 0.429045935, right, 2, 2, 4, 6.jpg, 8.jpg, 0.4106163000687957, 2, 0.22048214, 0.429045935, 0.424862287, 0.419699964,1
15, test, 2, vibration during choice, 36, 3, 1, 7.jpg, 5.jpg, 0.423948221, 0.211101934, 0.423948221, right, 2, 3, 1, 7.jpg, 5.jpg, 0.6470712999580428, 2, 0.211101934, 0.447650766, 0.423948221, 0.428911523,0,
15, test, 2, vibration during choice, 37, 1, 3, 5.jpg, 7.jpg, 0.219326053, 0.43257228, 0.219326053, right, 2, 1, 3, 5.jpg, 7.jpg, 1.2705992999253795, 2, 0.219326053, 0.456165741, 0.43257228, 0.39910528,0,
15, test, 2, vibration during choice, 38, 2, 4, 6.jpg, 8.jpg, 0.433155402, 0.390289699, 0.390289699, left, 1, 4, 2, 8.jpg, 6.jpg, 0.3789978000568226, 2, 0.221341547, 0.433155402, 0.4363313, 0.390289699,0,
15, test, 2, vibration during choice, 39, 2, 4, 6.jpg, 8.jpg, 0.447660961, 0.411267062, 0.447660961, right, 2, 2, 4, 6.jpg, 8.jpg, 0.29319740005303174, 2, 0.214118114, 0.447660961, 0.408906602, 0.411267062,1
15, test, 2, vibration during choice, 40, 3, 2, 7.jpg, 6.jpg, 0.40122215, 0.447456341, 0.40122215, right, 2, 3, 2, 7.jpg, 6.jpg, 0.4531016000546515, 2, 0.217505069, 0.447456341, 0.40122215, 0.401024283,0,
15, test, 2, vibration during choice, 41, 3, 1, 7.jpg, 5.jpg, 0.382054645, 0.249081937, 0.249081937, left, 1, 1, 3, 5.jpg, 7.jpg, 0.7961006000405177, 2, 0.249081937, 0.458162882, 0.382054645, 0.370374616,0,
